Run ID,Name,Source Type,Source Name,User,Status,max_features,min_rows_per_node,rows_sample,mae,r2,rmse
4668ed6f53a94e1ba8d254ceec8ebbd0,,,,unknown,FINISHED,130,5,0.0384246782213566,502.791038513184,0.715249747037888,616.892303466797
1f5eeed8b78f462b98067aff3d2f5ceb,,,,unknown,FINISHED,167,2,0.0360411689885916,504.364166259766,0.713468685746193,618.365234375
75011ec751a3478e862b6e09490e72bc,,,,unknown,FINISHED,162,3,0.0319014286128198,503.456527709961,0.713622912764549,618.254364013672
0e87c5f90817453bbae73f66fb1202f3,,,,unknown,FINISHED,97,3,0.0357323522915499,504.539207458496,0.714304879307747,617.149475097656
cf99707048f9463e8199df23b42227c1,,,,unknown,FINISHED,87,4,0.0323120372808849,505.094505310059,0.713460072875023,617.909362792969
bb8f1378541743d68e35c769564e2d12,,,,unknown,FINISHED,147,11,0.143890294387242,512.066459655762,0.703693673014641,629.839492797852
f0a1bb005690495d9b9dc00b0ca10e4c,,,,unknown,FINISHED,155,33,0.131789787661281,511.24796295166,0.704189613461494,630.017593383789
c5b7555f7aec428aa433643ed8dde69c,,,,unknown,FINISHED,175,25,0.0174287194202321,520.372283935547,0.698232606053352,635.304885864258
d7950445bf744c10a8ae8d2cc5995edc,,,,unknown,FINISHED,100,3,0.0632429632690674,507.691650390625,0.71099965274334,621.154357910156
01f3488c9f1643f08a9215806fb2c9fb,,,,unknown,FINISHED,134,9,0.109409248281543,509.522743225098,0.708094745874405,625.316528320312
2d7d39b89a884ced8b38647c0214c936,,,,unknown,FINISHED,78,19,0.0453785615694941,510.801628112793,0.707707792520523,625.090438842773
00b1981b2b4f44a4b93fabc73a90727e,,,,unknown,FINISHED,116,42,0.0944055248115687,512.723175048828,0.704487860202789,629.544723510742
7d928878685b4223a069d26f5314cefc,,,,unknown,FINISHED,83,26,0.0430639804251663,511.964820861816,0.706851154565811,625.7822265625
8cdacd8e029d433b97475cc5bb028ee9,,,,unknown,FINISHED,165,48,0.0796105912219635,512.831390380859,0.70337849855423,630.492904663086
8b7a5384ddf241f292238adc3a03ee18,,,,unknown,FINISHED,119,36,0.0143512074530846,531.545387268066,0.68449929356575,648.166030883789
fa5a0b9d588240a59eaebd91a0400010,,,,unknown,FINISHED,165,72,0.542135453669975,523.292037963867,0.686659440398216,648.310821533203
197ae9d5c00042a98337a0c16609fad9,,,,unknown,FINISHED,183,64,0.47862176590433,523.478050231934,0.684437021613121,650.417678833008
a0d9a535a775409a9c4fb7765e79eae2,,,,unknown,FINISHED,127,83,0.488306230020789,520.063591003418,0.694053620100021,640.901840209961
9663ec3709fd47a4ae453c7fdda7729e,,,,unknown,FINISHED,82,11,0.0240230360195463,508.7421875,0.709659337997437,622.181198120117
8035a904ae784d60822909243e9fff55,,,,unknown,FINISHED,107,69,0.289097644966591,515.894630432129,0.700463533401489,634.580413818359
f795eee379494501a8271e639e20ad34,,,,unknown,FINISHED,152,38,0.0270512749465259,520.960067749023,0.697125017642975,636.353973388672
f29eca4afc8743fab6e79ae678c6929a,,,,unknown,FINISHED,145,15,0.390126237613618,523.079292297363,0.692045420408249,642.379852294922
0fe33e719f8e4c338bd64df05ebcc5e4,,,,unknown,FINISHED,138,22,0.583354043705269,529.786170959473,0.685416921973228,648.876251220703
961bb1375f7041ccb6cbaf6f5fd4a633,,,,unknown,FINISHED,162,26,0.0882375730836532,508.330795288086,0.708078518509865,625.505172729492
e5543034e6ee4bb98dc6e874f6995247,,,,unknown,FINISHED,158,89,0.346332405466122,519.736068725586,0.691681861877441,643.927032470703
54c9395dc367448b9a4729f191104e74,,,,unknown,FINISHED,104,29,0.0545536212908631,511.220771789551,0.707492500543594,625.547775268555
b18afdb6c9bf4698b1cff3f1d882fa86,,,,unknown,FINISHED,87,21,0.463020360611539,526.52806854248,0.69140799343586,642.730102539062
fc1b8a21708543fc83c132306d329d42,,,,unknown,FINISHED,98,92,0.160015230824388,517.79280090332,0.699414432048798,635.032470703125
deb84d4f646d4d388b17c3f41959c2f8,,,,unknown,FINISHED,121,52,0.360640610347126,517.576278686523,0.698128804564476,636.681640625
