Run ID,Name,Source Type,Source Name,User,Status,algo_desc,cv_n_folds,dataset,features,lag,max_depth,min_n,mtry,n_samples_cv,n_samples_single,sample_fraction,train_test_split_ratio,trees,mae,mae_insample,mae_mean_cv,mae_sd_cv,rmse,rmse_insample,rmse_mean_cv,rmse_sd_cv,rsq,rsq_insample,rsq_mean_cv,rsq_sd_cv
6bcc136e65cf4666a499234fa336716b,,,,unknown,FINISHED,rf_feat,4,comb_data_rev1.RDS,"0_wind_speed_ms,1_wind_speed_ms,2_wind_speed_ms,3_wind_speed_ms,4_wind_speed_ms,Wind,Time_half,Time_quarter,Time_month,Time_hour,Time_week",,8,30,5,10000,10000,,0.2,300,379.676167024248,153.42787814883,472.898432518824,119.1654804307,468.652373755845,201.290242448114,596.661242436143,132.368670924902,0.704006259410535,0.970551041902381,0.735585633376097,0.157910552720055
642054cd54154998a2eb975ecf86d755,,,,unknown,FINISHED,rf_feat,4,comb_data_rev1.RDS,"0_wind_speed_ms,1_wind_speed_ms,2_wind_speed_ms,3_wind_speed_ms,4_wind_speed_ms,Wind,Time_half,Time_quarter,Time_month,Time_hour,Time_week",,8,30,5,10000,10000,,0.2,200,377.554435325242,154.064721347393,472.103455352162,118.784977897783,467.78015802276,201.600073229241,595.203011577136,133.043246568275,0.703838127313336,0.970488764860635,0.736154758266939,0.157379043918743
524727b73c8a4fcab66175745a6289b8,,,,unknown,FINISHED,rf_feat,4,comb_data_rev1.RDS,"0_wind_speed_ms,1_wind_speed_ms,2_wind_speed_ms,3_wind_speed_ms,4_wind_speed_ms,Wind,Time_half,Time_quarter,Time_month,Time_hour,Time_week",,4,20,5,10000,10000,,0.2,200,431.260892203039,390.769118047766,481.250933561511,140.284161321635,507.217057763815,483.631069412268,606.824029343347,150.397473645087,0.644421269145084,0.836131877614948,0.708466768943239,0.180361558590206
766bd864188a478788e12018f956f78d,,,,unknown,FINISHED,rf_feat,4,comb_data_rev1.RDS,"0_wind_speed_ms,1_wind_speed_ms,2_wind_speed_ms,3_wind_speed_ms,4_wind_speed_ms,Wind,Time_half,Time_quarter,Time_month,Time_hour,Time_week",,8,20,5,10000,10000,,0.2,200,380.238888038143,151.127604975522,472.62501165657,116.400804587627,470.390951140998,198.261763036455,595.953682387473,131.352779512618,0.702461848326442,0.971448348758559,0.73564786591476,0.155377197916728
5d87b9f39a7340909be07920a195e9b1,,,,unknown,FINISHED,rf_feat,4,comb_data_rev1.RDS,"0_wind_speed_ms,1_wind_speed_ms,2_wind_speed_ms,3_wind_speed_ms,4_wind_speed_ms,Wind,Time_half,Time_quarter,Time_month,Time_hour,Time_week",,10,20,5,10000,10000,,0.2,200,379.911575125413,88.2798637404587,472.630670395354,119.058177457247,477.009357410379,121.117300907319,595.431655416857,132.267270310619,0.698759492685447,0.989147726030459,0.738629540552843,0.152241899688271
58160484a59c4d20ad5531a0c948ff06,,,,unknown,FINISHED,rf_feat,4,comb_data_rev1.RDS,"0_wind_speed_ms,1_wind_speed_ms,2_wind_speed_ms,3_wind_speed_ms,4_wind_speed_ms,Wind,Time_half,Time_quarter,Time_month,Time_hour,Time_week",,15,11,3,10000,10000,,0.2,500,367.351376008612,49.0372322276512,480.053147209372,135.48939549594,451.381521885108,65.9493678474702,603.782008556835,146.419654268358,0.704170509109626,0.997323241983464,0.749896872251233,0.150446898584811
169fe0c644a348178c80c2f88873ac7a,,,,unknown,FINISHED,rf_feat,4,comb_data_rev1.RDS,"0_wind_speed_ms,1_wind_speed_ms,2_wind_speed_ms,3_wind_speed_ms,4_wind_speed_ms,Wind,Time_half,Time_quarter,Time_month,Time_hour,Time_week",,10,,,10000,10000,,0.2,,367.080470700816,117.402092991437,478.595418539741,134.627661299931,449.192515909351,155.032387290871,603.161291438431,147.142632601185,0.704951533874268,0.983908629053942,0.749547759949947,0.150638150415098
6a050c35f39d4710bfc959d92396f83e,,,,unknown,FINISHED,rf_feat,4,comb_data_rev1.RDS,"0_wind_speed_ms,1_wind_speed_ms,2_wind_speed_ms,3_wind_speed_ms,4_wind_speed_ms,Wind,Time_half,Time_quarter,Time_month,Time_hour,Time_week",,10,,,10000,10000,,0.2,,378.083906612639,82.8977736716024,476.84086796323,122.125212430065,473.592412603456,114.009649362614,598.652846163337,133.101624901717,0.700915334635557,0.990350757088533,0.736019549308447,0.154827790715348
2b448002d09a4864a45d9f147dc4d8e6,,,,unknown,FINISHED,rf_feat,4,comb_data_rev1.RDS,"0_wind_speed_ms,1_wind_speed_ms,2_wind_speed_ms,3_wind_speed_ms,4_wind_speed_ms,Wind,Time_half,Time_quarter,Time_month,Time_hour,Time_week",,5,,,10000,10000,,0.2,,408.039904410022,313.124717822504,471.740891758559,128.472662163679,483.561364925184,394.070411561121,598.019275438604,139.709503803138,0.67716452068385,0.890625745825886,0.722983232797734,0.166629076990722
7c812fa620e74385a3d6ccc375b68eff,,,,unknown,FINISHED,rf_feat,4,comb_data_rev1.RDS,"0_wind_speed_ms,1_wind_speed_ms,2_wind_speed_ms,3_wind_speed_ms,4_wind_speed_ms,Wind,Time_half,Time_quarter,Time_month,Time_hour,Time_week",,5,,,10000,10000,,0.2,,454.025441208442,297.72595614285,498.139835851795,84.9342197949071,576.668035494389,400.21503999577,642.503949186412,93.4515822497741,0.61971527713608,0.873792723627141,0.649147609997733,0.206928849116528
428e9ef101f14b46870228f0b821308c,,,,unknown,FINISHED,rf_feat,4,comb_data_rev1.RDS,"0_wind_speed_ms,1_wind_speed_ms,2_wind_speed_ms,3_wind_speed_ms,4_wind_speed_ms,Wind,Time_half,Time_quarter,Time_month,Time_hour,Time_week",,10,,,10000,10000,,0.2,,412.473278989325,73.6270349601667,508.217509171254,93.7175223565817,535.226074742794,113.137332145402,641.550782994325,107.078789227991,0.664869461042374,0.990016853991226,0.664447506896588,0.192789714808616
648b3125552f4321935eb307292d9d79,,,,unknown,FINISHED,rf_feat,4,comb_data_rev1.RDS,"0_wind_speed_ms,1_wind_speed_ms,2_wind_speed_ms,3_wind_speed_ms,4_wind_speed_ms,Wind,Time_half,Time_quarter,Time_month,Time_hour,Time_week",,,,,10000,10000,,0.2,,412.64946455927,23.5445621301944,508.192981025092,98.3748962873509,535.751301100248,41.7796280420566,641.3618636155,108.13682700181,0.664361122557719,0.998655785345704,0.665344714597013,0.190381628260547
